date,close
2022-04-19,10525.000000
2022-04-20,10595.000000
2022-04-21,10870.000000
2022-04-22,10200.000000
2022-04-25,9775.000000
2022-04-26,10260.000000
2022-04-27,9700.000000
2022-04-28,9940.000000
2022-04-29,10410.000000
2022-05-02,9830.000000
2022-05-03,10340.000000
2022-05-04,10560.000000
2022-05-06,10355.000000
2022-05-09,9985.000000
2022-05-10,9540.000000
2022-05-11,9835.000000
2022-05-12,9200.000000
2022-05-13,9555.000000
2022-05-16,9950.000000
2022-05-17,9890.000000
2022-05-18,10405.000000
2022-05-19,9615.000000
2022-05-20,9625.000000
2022-05-23,9645.000000
2022-05-24,9035.000000
2022-05-25,8995.000000
2022-05-26,9140.000000
2022-05-27,9730.000000
2022-05-30,10630.000000
2022-05-31,10390.000000
2022-06-02,10090.000000
2022-06-03,10590.000000
2022-06-07,10150.000000
2022-06-08,10295.000000
2022-06-09,9915.000000
2022-06-10,9755.000000
2022-06-13,8705.000000
2022-06-14,8530.000000
2022-06-15,8425.000000
2022-06-16,8385.000000
2022-06-17,7680.000000
2022-06-20,7700.000000
2022-06-21,7860.000000
2022-06-22,7795.000000
2022-06-23,7945.000000
2022-06-24,7970.000000
2022-06-27,8320.000000
2022-06-28,8395.000000
2022-06-29,8030.000000
2022-06-30,7515.000000
2022-07-01,7365.000000
2022-07-04,6890.000000
2022-07-05,7150.000000
2022-07-06,7025.000000
2022-07-07,7270.000000
2022-07-08,7705.000000
2022-07-11,7620.000000
2022-07-12,7525.000000
2022-07-13,7615.000000
2022-07-14,7730.000000
2022-07-15,8300.000000
2022-07-18,8710.000000
2022-07-19,8385.000000
2022-07-20,9220.000000
2022-07-21,9565.000000
2022-07-22,9760.000000
2022-07-25,9400.000000
2022-07-26,9210.000000
2022-07-27,9260.000000
2022-07-28,9550.000000
2022-07-29,9845.000000
2022-08-01,9995.000000
2022-08-02,10125.000000
2022-08-03,10230.000000
2022-08-04,10760.000000
2022-08-05,10865.000000
2022-08-08,10820.000000
2022-08-09,10385.000000
2022-08-10,9465.000000
2022-08-11,10280.000000
2022-08-12,10175.000000
2022-08-16,10810.000000
2022-08-17,10715.000000
2022-08-18,10320.000000
2022-08-19,10715.000000
2022-08-22,10325.000000
2022-08-23,9715.000000
2022-08-24,9860.000000
2022-08-25,9955.000000
2022-08-26,10305.000000
2022-08-29,9325.000000
2022-08-30,9285.000000
2022-08-31,8970.000000
2022-09-01,8475.000000
2022-09-02,8495.000000
2022-09-05,8490.000000
2022-09-06,8605.000000
2022-09-07,8355.000000
2022-09-08,8730.000000
2022-09-13,9380.000000
2022-09-14,8460.000000
2022-09-15,8600.000000
2022-09-16,8150.000000
